date,ip,val
2006-07-01,0,106
2006-07-01,1,640
2006-07-01,2,1677
2006-07-01,3,22
2006-07-01,4,184
2006-07-01,5,44
2006-07-01,6,63
2006-07-01,7,411
2006-07-01,8,448
2006-07-01,9,1463
2006-07-02,0,920
2006-07-02,1,2661
2006-07-02,2,2036
2006-07-02,3,30
2006-07-02,4,941
2006-07-02,5,60
2006-07-02,6,27
2006-07-02,7,68
2006-07-02,8,689
2006-07-02,9,5
2006-07-03,0,249
2006-07-03,1,3063
2006-07-03,2,1296
2006-07-03,3,25
2006-07-03,4,245
2006-07-03,5,71
2006-07-03,6,35
2006-07-03,7,474
2006-07-03,8,951
2006-07-03,9,839
2006-07-04,0,2971
2006-07-04,1,1916
2006-07-04,2,1584
2006-07-04,3,47
2006-07-04,4,187
2006-07-04,5,64
2006-07-04,6,69
2006-07-04,7,200
2006-07-04,8,1236
2006-07-04,9,6
2006-07-05,0,158
2006-07-05,1,6760
2006-07-05,2,4725
2006-07-05,3,87
2006-07-05,4,5643
2006-07-05,5,129
2006-07-05,6,113
2006-07-05,7,208
2006-07-05,8,7456
2006-07-05,9,1910
2006-07-06,0,184
2006-07-06,1,1535
2006-07-06,2,1606
2006-07-06,3,18
2006-07-06,4,327
2006-07-06,5,34
2006-07-06,6,23
2006-07-06,7,489
2006-07-06,8,495
2006-07-06,9,1680
2006-07-07,0,197
2006-07-07,1,1702
2006-07-07,2,2077
2006-07-07,3,51
2006-07-07,4,315
2006-07-07,5,57
2006-07-07,6,37
2006-07-07,7,255
2006-07-07,8,1144
2006-07-07,9,3136
2006-07-08,0,361
2006-07-08,1,2392
2006-07-08,2,1359
2006-07-08,3,35
2006-07-08,4,327
2006-07-08,5,51
2006-07-08,6,40
2006-07-08,7,729
2006-07-08,8,2188
2006-07-08,9,1758
2006-07-09,0,68
2006-07-09,1,1537
2006-07-09,2,2170
2006-07-09,3,23
2006-07-09,4,148
2006-07-09,5,43
2006-07-09,6,33
2006-07-09,7,346
2006-07-09,8,7
2006-07-09,9,5
2006-07-10,0,258
2006-07-10,1,1718
2006-07-10,2,1408
2006-07-10,3,40
2006-07-10,4,254
2006-07-10,5,56
2006-07-10,6,41
2006-07-10,7,164
2006-07-10,8,212
2006-07-10,9,2169
2006-07-11,0,118
2006-07-11,1,1620
2006-07-11,2,1329
2006-07-11,3,102
2006-07-11,4,158
2006-07-11,5,157
2006-07-11,6,134
2006-07-11,7,219
2006-07-11,8,25
2006-07-11,9,1158
2006-07-12,0,236
2006-07-12,1,1635
2006-07-12,2,1602
2006-07-12,3,13
2006-07-12,4,270
2006-07-12,5,27
2006-07-12,6,23
2006-07-12,7,163
2006-07-12,8,1342
2006-07-12,9,118
2006-07-13,0,145
2006-07-13,1,1595
2006-07-13,2,1263
2006-07-13,3,65
2006-07-13,4,128
2006-07-13,5,41
2006-07-13,6,54
2006-07-13,7,424
2006-07-13,8,33
2006-07-13,9,5
2006-07-14,0,132
2006-07-14,1,1489
2006-07-14,2,1539
2006-07-14,3,15
2006-07-14,4,126
2006-07-14,5,30
2006-07-14,6,27
2006-07-14,7,865
2006-07-14,8,55
2006-07-14,9,5
2006-07-15,0,333
2006-07-15,1,1845
2006-07-15,2,822
2006-07-15,3,297
2006-07-15,4,118
2006-07-15,5,346
2006-07-15,6,367
2006-07-15,7,1116
2006-07-15,8,5586
2006-07-15,9,9
2006-07-16,0,784
2006-07-16,1,1835
2006-07-16,2,622
2006-07-16,3,23
2006-07-16,4,221
2006-07-16,5,28
2006-07-16,6,31
2006-07-16,7,1005
2006-07-16,8,203
2006-07-16,9,6
2006-07-17,0,1462
2006-07-17,1,2824
2006-07-17,2,2705
2006-07-17,3,26
2006-07-17,4,1966
2006-07-17,5,33
2006-07-17,6,34
2006-07-17,7,722
2006-07-17,8,3438
2006-07-17,9,4
2006-07-18,0,4191
2006-07-18,1,2312
2006-07-18,2,2002
2006-07-18,3,43
2006-07-18,4,5147
2006-07-18,5,31
2006-07-18,6,44
2006-07-18,7,449
2006-07-18,8,25
2006-07-18,9,1000
2006-07-19,0,166
2006-07-19,1,2366
2006-07-19,2,1938
2006-07-19,3,28
2006-07-19,4,2512
2006-07-19,5,23
2006-07-19,6,25
2006-07-19,7,309
2006-07-19,8,9
2006-07-19,9,4378
2006-07-20,0,1501
2006-07-20,1,2807
2006-07-20,2,2446
2006-07-20,3,17
2006-07-20,4,620
2006-07-20,5,25
2006-07-20,6,20
2006-07-20,7,544
2006-07-20,8,181
2006-07-20,9,338
2006-07-21,0,1243
2006-07-21,1,3079
2006-07-21,2,3144
2006-07-21,3,74
2006-07-21,4,1429
2006-07-21,5,94
2006-07-21,6,117
2006-07-21,7,64
2006-07-21,8,181
2006-07-21,9,3598
2006-07-22,0,492
2006-07-22,1,1613
2006-07-22,2,1071
2006-07-22,3,74
2006-07-22,4,194
2006-07-22,5,161
2006-07-22,6,60
2006-07-22,7,55
2006-07-22,8,202
2006-07-22,9,6
2006-07-23,0,3797
2006-07-23,1,8813
2006-07-23,2,4524
2006-07-23,3,49
2006-07-23,4,3846
2006-07-23,5,862
2006-07-23,6,59
2006-07-23,7,66
2006-07-23,8,4748
2006-07-23,9,5
2006-07-24,0,863
2006-07-24,1,1487
2006-07-24,2,1859
2006-07-24,3,45
2006-07-24,4,1233
2006-07-24,5,69
2006-07-24,6,47
2006-07-24,7,65
2006-07-24,8,2621
2006-07-24,9,2637
2006-07-25,0,158
2006-07-25,1,846
2006-07-25,2,1430
2006-07-25,3,64
2006-07-25,4,391
2006-07-25,5,88
2006-07-25,6,77
2006-07-25,7,192
2006-07-25,8,459
2006-07-25,9,2792
2006-07-26,0,252
2006-07-26,1,2076
2006-07-26,2,2414
2006-07-26,3,40
2006-07-26,4,435
2006-07-26,5,57
2006-07-26,6,95
2006-07-26,7,918
2006-07-26,8,689
2006-07-26,9,2912
2006-07-27,0,278
2006-07-27,1,1638
2006-07-27,2,2053
2006-07-27,3,38
2006-07-27,4,511
2006-07-27,5,56
2006-07-27,6,42
2006-07-27,7,794
2006-07-27,8,641
2006-07-27,9,1734
2006-07-28,0,1506
2006-07-28,1,2518
2006-07-28,2,1587
2006-07-28,3,47
2006-07-28,4,6265
2006-07-28,5,65
2006-07-28,6,50
2006-07-28,7,629
2006-07-28,8,196
2006-07-28,9,1651
2006-07-29,0,133
2006-07-29,1,1447
2006-07-29,2,717
2006-07-29,3,39
2006-07-29,4,138
2006-07-29,5,56
2006-07-29,6,136
2006-07-29,7,75
2006-07-29,8,250
2006-07-29,9,1494
2006-07-30,0,74
2006-07-30,1,2108
2006-07-30,2,622
2006-07-30,3,71
2006-07-30,4,582
2006-07-30,5,71
2006-07-30,6,74
2006-07-30,7,118
2006-07-30,8,580
2006-07-30,9,9
2006-07-31,0,146
2006-07-31,1,2281
2006-07-31,2,876
2006-07-31,3,58
2006-07-31,4,335
2006-07-31,5,80
2006-07-31,6,73
2006-07-31,7,236
2006-07-31,8,2628
2006-07-31,9,2954
2006-08-01,0,426
2006-08-01,1,3097
2006-08-01,2,754
2006-08-01,3,39
2006-08-01,4,1570
2006-08-01,5,57
2006-08-01,6,32
2006-08-01,7,339
2006-08-01,8,2500
2006-08-01,9,1349
2006-08-02,0,1163
2006-08-02,1,2385
2006-08-02,2,740
2006-08-02,3,49
2006-08-02,4,650
2006-08-02,5,60
2006-08-02,6,43
2006-08-02,7,1022
2006-08-02,8,126
2006-08-02,9,3782
2006-08-03,0,177
2006-08-03,1,1701
2006-08-03,2,540
2006-08-03,3,25
2006-08-03,4,91
2006-08-03,5,52
2006-08-03,6,49
2006-08-03,7,613
2006-08-03,8,305
2006-08-03,9,1352
2006-08-04,0,458
2006-08-04,1,2051
2006-08-04,2,4309
2006-08-04,3,39
2006-08-04,4,3369
2006-08-04,5,55
2006-08-04,6,45
2006-08-04,7,325
2006-08-04,8,122
2006-08-04,9,1622
2006-08-05,0,796
2006-08-05,1,1601
2006-08-05,2,424
2006-08-05,3,55
2006-08-05,4,141
2006-08-05,5,86
2006-08-05,6,60
2006-08-05,7,65
2006-08-05,8,274
2006-08-05,9,939
2006-08-06,0,226
2006-08-06,1,3881
2006-08-06,2,1531
2006-08-06,3,37
2006-08-06,4,1456
2006-08-06,5,55
2006-08-06,6,49
2006-08-06,7,66
2006-08-06,8,122
2006-08-06,9,4
2006-08-07,0,167
2006-08-07,1,1720
2006-08-07,2,484
2006-08-07,3,47
2006-08-07,4,188
2006-08-07,5,71
2006-08-07,6,54
2006-08-07,7,126
2006-08-07,8,526
2006-08-07,9,1219
2006-08-08,0,1561
2006-08-08,1,6040
2006-08-08,2,2108
2006-08-08,3,18
2006-08-08,4,1408
2006-08-08,5,47
2006-08-08,6,24
2006-08-08,7,141
2006-08-08,8,768
2006-08-08,9,572
2006-08-09,0,611
2006-08-09,1,3365
2006-08-09,2,664
